Content,dateTime,replies,retweets,likes
USA birth rate has been below min sustainable levels for ~50 years,2022-05-24T13:51:07.000Z,48.6K,52.2K,297.7K
AI gets better every day,2022-06-20T23:43:38.000Z,"6,106","7,315",60.5K
What … is your favorite cheese?,2022-06-20T20:46:59.000Z,68.2K,13.2K,109.2K
Some great suggestions in the comments!,2022-06-20T21:34:57.000Z,"3,507",942,17.8K
The sheer variety of cheese is amazing,2022-06-20T21:04:10.000Z,"2,421","1,623",27.9K
But sometimes they’re out of stock,2022-06-20T21:11:25.000Z,"1,394",872,14.9K
I will keep supporting Dogecoin,2022-06-19T06:19:16.000Z,34.4K,40.5K,365K
Starship SN24 in the High Bay,2022-06-15T02:19:15.000Z,"6,036",11K,155.1K
Cryptonight,2022-06-15T00:54:50.000Z,19.5K,26.2K,276.9K
"This is highly unusual btw. Statistically, the richer someone is, the fewer kids they have.",2022-06-14T16:52:25.000Z,"6,338","3,602",52.9K
"Don’t build moats, build tech trees",2022-06-14T16:18:30.000Z,"7,387",11.1K,138.4K
One step closer to the first orbital flight test of Starship https://faa.gov/space/stakeholder_engagement/spacex_starship…,2022-06-13T18:21:33.000Z,"2,199","9,109",84.8K
"I mean, I’m doing my part haha",2022-06-14T04:07:35.000Z,"8,474","6,438",163.1K
Past two years have been a demographic disaster,2022-06-14T04:06:41.000Z,"3,290","5,035",87.8K
Words are beautiful,2022-06-12T20:47:10.000Z,25.7K,26.2K,285.9K
"It is rare for me to endorse political candidates. 

My political leanings are moderate, so neither fully Republican nor Democrat, which I am confident is the case for most Americans.

Executive competence is super underrated in politics – we should care about that a lot more!",2022-06-03T13:25:13.000Z,"9,225","9,306",101.7K
"Tesla AI Day pushed to Sept 30, as we may have an Optimus prototype working by then",2022-06-03T00:52:57.000Z,"8,721",10.6K,130.2K
"Tesla navigation will now take predicted crosswind, headwind, humidity & temperature into account for calculating battery % on arrival",2022-05-28T16:57:38.000Z,"3,549","4,689",56.9K
"Two years ago yesterday, SpaceX launched its first human spaceflight to the 
@space_station",2022-05-31T20:33:40.000Z,"1,846","3,160",30.8K
Tesla scores 100/100 for 7th year in a row for LGBTQ equality,2022-06-01T15:58:28.000Z,"8,420","5,751",65.7K
"We are trying to accelerate sustainable energy, so what matters is how much someone can contribute to that goal. 

Personal choices are your own and are respected.",2022-06-01T16:05:22.000Z,"6,468","4,947",69.6K
"10 years since SpaceX’s first mission to 
@Space_Station",2022-05-31T20:23:56.000Z,"5,852","6,098",65.6K
Literally …,2022-05-31T02:50:47.000Z,13.9K,50K,479.7K
"Landed back at Cape Canaveral
(Humans for scale)",2022-05-26T01:10:35.000Z,"8,974",14.9K,222.3K
Falcon 9 going supersonic,2022-05-26T01:09:28.000Z,"5,926",12.6K,223.6K
Falcon 9’s first stage has landed on Landing Zone 1 – SpaceX’s 22nd launch and landing of 2022!,2022-05-25T18:44:28.000Z,"2,204","7,094",69.3K
Population collapse is the biggest threat to civilization,2022-05-24T20:13:10.000Z,21.4K,25.1K,144K
"“Astronomical Waste”

Likely the most important paper ever written:

https://nickbostrom.com/astronomical/waste.html…",2022-05-24T17:52:36.000Z,"1,028","1,973",12.9K
It’s ideal for travel or camping to any location internet access has been unreliable or completely unavailable → http://starlink.com/rv,2022-05-24T16:17:42.000Z,"1,597","1,936",18.1K
"Contrary to what many think, the richer someone is, the fewer kids they have.

I am a rare exception. Most people I know have zero or one kid.",2022-05-24T14:03:15.000Z,14.6K,11.8K,146.3K
"Starlink now available for RVs, campers & other large vehicle users (note, antenna too big for cars)",2022-05-23T23:11:34.000Z,10.6K,11.5K,97.6K
